,ds,symbol,close,volume,ma50,ma200
0,1990-01-02,JNJ,7.484375,5376000.0,,
1,1990-01-03,JNJ,7.515625,7007200.0,,
2,1990-01-04,JNJ,7.53125,4132000.0,,
3,1990-01-05,JNJ,7.453125,4864000.0,,
4,1990-01-08,JNJ,7.578125,7173600.0,,
5,1990-01-09,JNJ,7.34375,7431200.0,,
6,1990-01-10,JNJ,7.234375,8620800.0,,
7,1990-01-11,JNJ,7.328125,3319200.0,,
8,1990-01-12,JNJ,7.109375,8144800.0,,
9,1990-01-15,JNJ,7.078125,4255200.0,,
10,1990-01-16,JNJ,7.078125,8056800.0,,
11,1990-01-17,JNJ,7.015625,7482400.0,,
12,1990-01-18,JNJ,7.078125,4601600.0,,
13,1990-01-19,JNJ,7.171875,5992000.0,,
14,1990-01-22,JNJ,6.921875,4003200.0,,
15,1990-01-23,JNJ,6.90625,6219200.0,,
16,1990-01-24,JNJ,6.78125,11744000.0,,
17,1990-01-25,JNJ,6.625,5124000.0,,
18,1990-01-26,JNJ,6.609375,6485600.0,,
19,1990-01-29,JNJ,6.609375,4469600.0,,
20,1990-01-30,JNJ,6.5,6475200.0,,
21,1990-01-31,JNJ,6.546875,5142400.0,,
22,1990-02-01,JNJ,6.671875,5934400.0,,
23,1990-02-02,JNJ,6.828125,4728000.0,,
24,1990-02-05,JNJ,6.78125,3910400.0,,
25,1990-02-06,JNJ,6.75,3760800.0,,
26,1990-02-07,JNJ,6.84375,5452000.0,,
27,1990-02-08,JNJ,6.96875,8659200.0,,
28,1990-02-09,JNJ,7.015625,3249600.0,,
29,1990-02-12,JNJ,6.96875,2563200.0,,
30,1990-02-13,JNJ,6.875,3593600.0,,
31,1990-02-14,JNJ,6.9375,3696800.0,,
32,1990-02-15,JNJ,7.046875,3306400.0,,
33,1990-02-16,JNJ,6.9375,5685600.0,,
34,1990-02-20,JNJ,6.8125,4844000.0,,
35,1990-02-21,JNJ,6.71875,5664000.0,,
36,1990-02-22,JNJ,6.640625,3593600.0,,
37,1990-02-23,JNJ,6.515625,8368800.0,,
38,1990-02-26,JNJ,6.671875,4156800.0,,
39,1990-02-27,JNJ,6.671875,4815200.0,,
40,1990-02-28,JNJ,6.703125,6101600.0,,
41,1990-03-01,JNJ,6.75,3040800.0,,
42,1990-03-02,JNJ,6.875,4353600.0,,
43,1990-03-05,JNJ,6.765625,4536000.0,,
44,1990-03-06,JNJ,6.90625,4117600.0,,
45,1990-03-07,JNJ,6.90625,3157600.0,,
46,1990-03-08,JNJ,6.984375,3329600.0,,
47,1990-03-09,JNJ,6.953125,3087200.0,,
48,1990-03-12,JNJ,6.921875,2899200.0,,
49,1990-03-13,JNJ,6.796875,3235200.0,6.934375,
50,1990-03-14,JNJ,6.890625,4241600.0,6.9225,
51,1990-03-15,JNJ,7.109375,8206400.0,6.914375,
52,1990-03-16,JNJ,7.15625,13574400.0,6.906875,
53,1990-03-19,JNJ,7.125,4110400.0,6.9003125,
54,1990-03-20,JNJ,7.046875,4452800.0,6.8896875,
55,1990-03-21,JNJ,6.984375,2240000.0,6.8825,
