ds,AAPL,GOOG,JNJ,KO,MSFT,NVDA,PG,TSLA
2021-01-04,129.41,86.412,156.5,52.76,217.69,131.135,137.82,243.2567
2021-01-05,131.01,87.046,158.34,52.18,217.9,134.0475,138.7,245.0367
2021-01-06,126.6,86.7645,159.83,50.52,212.25,126.145,140.16,251.9933
2021-01-07,130.92,89.3625,160.37,49.96,218.29,133.44,138.85,272.0133
2021-01-08,132.05,90.3605,160.04,51.08,219.62,132.7675,138.79,293.34
2021-01-11,128.98,88.336,159.37,50.2,217.49,136.215,137.85,270.3967
2021-01-12,128.8,87.3275,158.13,50.11,214.93,134.8475,137.05,283.1467
2021-01-13,130.89,87.72,157.89,50.16,216.34,135.3175,137.26,284.8033
2021-01-14,128.91,87.009,160.65,49.23,213.02,132.0025,135.8,281.6667
2021-01-15,127.14,86.8095,160.3,48.7,212.65,128.595,134.78,275.3867
2021-01-19,127.83,89.543,162.78,48.51,216.44,130.2525,133.6,281.5167
2021-01-20,132.03,94.345,162.38,48.68,224.34,133.6575,131.93,283.4833
2021-01-21,136.87,94.5625,161.73,48.95,224.97,138.675,131.01,281.6633
2021-01-22,139.07,95.0525,163.55,48.49,225.95,137.125,130.0,282.2133
2021-01-25,142.92,94.97,165.98,48.78,229.53,136.5325,132.24,293.6
2021-01-26,143.16,95.862,170.48,49.29,232.33,134.3525,133.09,294.3633
2021-01-27,142.06,91.5395,167.88,48.53,232.9,129.1775,128.38,288.0533
2021-01-28,137.09,93.1555,169.16,49.15,238.93,130.51,130.36,278.4767
2021-01-29,131.96,91.787,163.13,48.15,231.96,129.8975,128.21,264.51
2021-02-01,134.14,95.0675,162.71,48.48,239.65,132.37,128.97,279.9367
2021-02-02,134.99,96.3755,161.25,48.96,239.51,135.5675,128.79,290.93
2021-02-03,133.94,103.5035,160.5,48.77,243.0,135.305,128.95,284.8967
2021-02-04,137.39,103.1185,161.99,49.01,242.01,136.6425,129.03,283.33
2021-02-05,136.76,104.9,164.45,49.65,242.2,135.91,129.57,284.0767
2021-02-08,136.91,104.6455,164.92,49.92,242.47,144.3875,129.17,287.8067
2021-02-09,136.01,104.1755,166.27,49.7,243.77,142.6325,128.67,283.1533
2021-02-10,135.39,104.769,166.81,49.6,242.82,147.6425,128.22,268.2733
2021-02-11,135.13,104.7945,166.06,50.3,244.49,152.5075,128.33,270.5533
2021-02-12,135.37,105.2055,166.58,50.69,244.99,149.6125,127.62,272.04
2021-02-16,133.19,106.095,165.07,50.27,243.7,153.3025,127.92,265.4067
2021-02-17,130.84,106.4155,165.66,50.13,244.2,149.06,128.46,266.05
2021-02-18,129.71,105.86,165.74,50.77,243.79,148.29,129.53,262.46
2021-02-19,129.87,105.057,162.98,50.11,240.97,149.265,127.12,260.4333
2021-02-22,126.0,103.244,161.87,50.63,234.51,143.5575,126.58,238.1667
2021-02-23,125.86,103.543,160.44,50.54,233.27,141.42,127.52,232.9467
2021-02-24,125.35,104.7585,162.59,50.71,234.55,144.99,127.66,247.34
2021-02-25,120.99,101.568,162.76,50.17,228.99,133.075,126.58,227.4067
2021-02-26,121.26,101.843,158.46,48.99,232.38,137.145,123.53,225.1667
2021-03-01,127.79,104.0755,159.32,49.9,236.94,138.4175,124.29,239.4767
2021-03-02,125.12,103.792,159.02,50.1,233.87,134.0625,123.9,228.8133
2021-03-03,122.06,101.3355,156.22,49.98,227.56,128.0475,123.16,217.7333
2021-03-04,120.13,102.4545,153.07,49.94,226.73,123.7025,122.15,207.1467
2021-03-05,121.42,105.427,156.1,50.79,231.6,124.615,125.98,199.3167
2021-03-08,116.36,101.2085,157.4,51.64,227.39,115.9325,127.31,187.6667
2021-03-09,121.085,102.635,157.7,50.86,233.78,125.2025,126.18,224.5267
2021-03-10,119.98,102.7515,159.15,51.44,232.42,124.6825,127.34,222.6867
2021-03-11,121.96,105.7385,159.14,50.88,237.13,129.935,126.91,233.2
2021-03-12,121.03,103.096,159.6,50.36,235.75,128.56,128.14,231.2433
2021-03-15,123.99,103.3245,160.42,51.03,234.81,131.9125,128.56,235.98
2021-03-16,125.57,104.626,161.37,51.22,237.71,132.9125,128.94,225.6267
2021-03-17,124.76,104.554,160.77,51.24,237.04,133.4125,128.42,233.9367
2021-03-18,120.53,101.811,160.47,50.57,230.72,127.225,128.7,217.72
2021-03-19,119.99,102.16,160.04,50.81,230.35,128.4575,128.01,218.29
2021-03-22,123.39,101.9295,160.5,51.0,235.99,131.8625,130.18,223.3333
2021-03-23,122.54,102.648,160.35,51.39,237.58,130.7075,132.6,220.72
2021-03-24,120.09,102.253,161.91,51.52,235.46,126.43,132.56,210.09
2021-03-25,120.59,102.218,161.97,52.02,232.34,125.3525,133.48,213.4633
